City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Sahagun,CO,81.57,overcast clouds,8.9462,-75.4427,Hotel 5ta Avenida
355,Backo Petrovo Selo,RS,86.0,overcast clouds,45.7081,20.0753,Ranč Jakšića
359,Port Blair,IN,80.91,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
360,West Wendover,US,78.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
361,Mpongwe,ZM,77.22,clear sky,-13.5091,28.155,Casablanca guest house and bar
363,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
364,Pontianak,ID,80.58,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
365,Morant Bay,JM,94.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
371,Kralendijk,BQ,89.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
373,Tabou,CI,76.82,overcast clouds,4.423,-7.3528,hotêl doufoulougou
375,Zambezi,ZM,82.74,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
379,Salta,AR,83.57,clear sky,-24.7859,-65.4117,Hotel Alejandro I
380,Nantucket,US,77.11,clear sky,41.2835,-70.0995,Jared Coffin House
382,Hamilton,US,77.74,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
383,Yarmouth,US,81.14,clear sky,41.7057,-70.2286,Blue Rock Resort
385,Mancio Lima,BR,86.07,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
388,Basco,PH,83.43,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
391,Natal,BR,86.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
396,Hurricane,US,79.59,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
401,Upata,VE,85.19,clear sky,8.0086,-62.3989,Posada Villa Nela
402,Marzuq,YE,83.8,broken clouds,14.4,46.4667,حيد القفلة
404,Carutapera,BR,87.76,scattered clouds,-1.195,-46.02,Lidera
407,Khobi,GE,78.46,clear sky,42.3156,41.8987,Kvara
408,Sola,VU,79.63,overcast clouds,-13.8833,167.55,Leumerus Bungalows
411,Lapua,FI,82.31,clear sky,62.9693,23.0088,Hotelli Lapuahovi Ravintola Baari
413,Margate,GB,78.87,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
414,Champerico,GT,84.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
416,Kupang,ID,75.65,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
420,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
421,Namatanai,PG,77.65,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
422,Gomel,BY,82.38,clear sky,52.4345,30.9754,Turyst
423,Nueva Loja,EC,80.62,clear sky,0.0847,-76.8828,Limoncocha Great Hotel
427,Ewo,CG,92.46,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
430,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
431,Nouakchott,MR,85.93,scattered clouds,18.0858,-15.9785,HOTEL IMAN
432,Sassandra,CI,76.8,overcast clouds,4.95,-6.0833,la terrasse
439,Kuching,MY,75.42,moderate rain,1.55,110.3333,Hilton Kuching
442,Sukhumi,GE,78.69,clear sky,43.0033,41.0153,Leon Boutique Hotel
447,Tibu,CO,91.24,few clouds,8.639,-72.7358,Hotel Yuliana's
448,Altamira,BR,87.89,scattered clouds,-3.2033,-52.2064,Requinte Hotel
449,Muttupet,IN,83.73,few clouds,10.4,79.4833,Hotel Star Residency
451,Jiaxing,CN,83.68,overcast clouds,30.7522,120.75,嘉兴富悦大酒店
452,Saint-Remi,CA,80.58,overcast clouds,45.2668,-73.6159,Golden Triangle Golf Course
453,Cockburn Town,TC,81.82,clear sky,21.4612,-71.1419,Osprey Beach Hotel
454,Erzin,TR,78.96,clear sky,36.9559,36.2,Artemis Otel
456,Oxilithos,GR,76.73,clear sky,38.5833,24.1167,Hotel Stomio Beach
458,Fukue,JP,83.75,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
460,Zhaoqing,CN,85.82,broken clouds,23.0512,112.4597,七星岩旅游度假区
461,Hurghada,EG,89.67,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
464,Wanning,CN,81.73,overcast clouds,18.8003,110.3967,Paradise Hotel
468,Rincon,US,88.95,broken clouds,32.296,-81.2354,Days Inn Rincon
471,Alizai,PK,80.19,broken clouds,33.5383,70.3462,Alizai Rest House
473,Yenagoa,NG,78.96,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
474,Mao,ES,82.96,few clouds,39.8885,4.2658,ARTIEM Capri
478,Mantua,IT,93.09,clear sky,45.1667,10.7833,Hotel la Favorita
480,Goderich,CA,77.32,overcast clouds,43.7501,-81.7165,Harmony Inn
481,Golden,US,80.64,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
482,Machado,BR,77.54,clear sky,-21.6747,-45.9197,JC Palace Hotel
483,Mjolby,SE,80.28,broken clouds,58.326,15.1237,Online shopping
484,Labuhan,ID,79.52,few clouds,-6.8844,112.2051,DoubleFAG
486,Mae Hong Son,TH,75.04,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
487,Sirnak,TR,77.92,clear sky,37.5228,42.4594,Şehr-i Nuh Otel
488,Tonantins,BR,85.71,scattered clouds,-2.8731,-67.8022,Hotel Hortensias
492,San Patricio,US,91.26,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
493,Omboue,GA,75.31,scattered clouds,-1.5746,9.2618,Hotel Olako
494,Durg,IN,75.38,overcast clouds,21.1833,81.2833,MAITRI HOSTEL
