City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
143,Katherine,AU,-14.4667,132.2667,55.72,30,35,5.75,2022-08-15 16:15:49,scattered clouds
144,Kieta,PG,-6.2167,155.6333,77.76,83,72,2.24,2022-08-15 16:15:50,broken clouds
145,Hami,CN,42.8,93.45,85.57,17,1,4.45,2022-08-15 16:15:50,clear sky
146,Nemuro,JP,43.3236,145.575,65.7,96,100,8.12,2022-08-15 16:15:51,light rain
147,Itaituba,BR,-4.2761,-55.9836,93.36,52,20,11.5,2022-08-15 16:15:51,few clouds
148,Sao Tome,ST,0.3365,6.7273,75.13,74,61,11.27,2022-08-15 16:15:51,broken clouds
149,Dawlatabad,AF,36.4141,64.9053,88.36,11,0,7.02,2022-08-15 16:15:52,clear sky
150,Victoria,HK,22.2855,114.1577,86.38,81,94,8.99,2022-08-15 16:12:36,overcast clouds
151,Santa Cruz,BO,-17.8,-63.1667,87.85,45,20,32.21,2022-08-15 16:15:52,few clouds
152,Saint George,US,37.1041,-113.5841,80.94,68,0,3.44,2022-08-15 16:15:53,clear sky
153,Uarini,BR,-2.99,-65.1083,92.91,43,2,4.0,2022-08-15 16:15:53,clear sky
154,Airai,TL,-8.9266,125.4092,55.42,86,68,2.48,2022-08-15 16:15:53,broken clouds
155,Mogadishu,SO,2.0371,45.3438,76.3,85,100,14.52,2022-08-15 16:15:54,overcast clouds
156,Biltine,TD,14.5333,20.9167,76.66,83,81,11.3,2022-08-15 16:15:54,heavy intensity rain
157,Utica,US,43.1009,-75.2327,80.69,56,62,1.01,2022-08-15 16:15:54,broken clouds
158,Sovetskiy,RU,61.3614,63.5842,55.92,61,98,4.63,2022-08-15 16:15:55,overcast clouds
159,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,14.97,2022-08-15 16:15:55,scattered clouds
160,Savelugu,GH,9.6244,-0.8253,78.31,81,100,7.52,2022-08-15 16:15:55,overcast clouds
161,Daru,PG,-9.0763,143.2092,76.59,85,91,10.27,2022-08-15 16:15:56,overcast clouds
162,Clyde River,CA,70.4692,-68.5914,43.03,87,100,6.91,2022-08-15 16:15:56,overcast clouds
163,Port Hardy,CA,50.6996,-127.4199,57.38,100,100,2.3,2022-08-15 16:15:07,fog
164,Hilo,US,19.7297,-155.09,77.29,74,0,8.05,2022-08-15 16:11:20,clear sky
165,Tallahassee,US,30.4383,-84.2807,89.85,57,40,0.0,2022-08-15 16:11:10,scattered clouds
166,Dhidhdhoo,MV,6.8833,73.1,81.39,79,76,7.81,2022-08-15 16:15:57,broken clouds
167,Clarence Town,AU,-32.5833,151.7833,53.85,71,84,6.64,2022-08-15 16:15:57,broken clouds
168,Pangnirtung,CA,66.1451,-65.7125,48.2,87,75,2.3,2022-08-15 16:15:58,light rain
169,Samarai,PG,-10.6167,150.6667,79.03,83,23,5.17,2022-08-15 16:15:58,few clouds
170,Hobyo,SO,5.3505,48.5268,77.36,82,100,24.18,2022-08-15 16:15:58,overcast clouds
171,Bagdarin,RU,54.4333,113.6,51.15,80,7,2.04,2022-08-15 16:15:59,clear sky
172,Vostok,RU,46.4856,135.8833,55.35,95,67,2.95,2022-08-15 16:15:59,broken clouds
173,East London,ZA,-33.0153,27.9116,58.55,55,84,3.96,2022-08-15 16:15:59,broken clouds
174,Aran,AZ,40.6253,46.9756,90.95,38,0,5.75,2022-08-15 16:16:00,clear sky
175,Puerto Ayora,EC,-0.7393,-90.3518,75.16,98,97,7.0,2022-08-15 16:16:00,overcast clouds
176,Bengkulu,ID,-3.8004,102.2655,76.73,88,74,3.69,2022-08-15 16:16:01,broken clouds
177,Tuatapere,NZ,-46.1333,167.6833,45.72,82,100,5.61,2022-08-15 16:16:01,overcast clouds
178,Half Moon Bay,US,37.4636,-122.4286,69.44,82,20,4.61,2022-08-15 16:13:48,few clouds
179,Maragogi,BR,-9.0122,-35.2225,78.98,66,53,14.09,2022-08-15 16:12:40,broken clouds
180,Sena Madureira,BR,-9.0656,-68.6569,94.75,37,92,4.36,2022-08-15 16:17:02,overcast clouds
181,Gladstone,AU,-23.85,151.25,53.53,87,0,8.05,2022-08-15 16:17:02,clear sky
182,Hithadhoo,MV,-0.6,73.0833,83.43,71,12,8.55,2022-08-15 16:17:03,few clouds
183,Saint-Pierre,RE,-21.3393,55.4781,70.92,70,75,4.61,2022-08-15 16:17:04,broken clouds
184,Kargopol,RU,61.5071,38.9456,70.7,58,57,1.7,2022-08-15 16:17:04,broken clouds
185,Faanui,PF,-16.4833,-151.75,78.49,77,21,15.97,2022-08-15 16:17:05,few clouds
186,Nuuk,GL,64.1835,-51.7216,50.61,81,100,29.93,2022-08-15 16:17:05,light intensity shower rain
187,Mount Gambier,AU,-37.8333,140.7667,49.91,93,100,16.11,2022-08-15 16:17:06,overcast clouds
188,Carnarvon,AU,-24.8667,113.6333,75.27,88,100,18.41,2022-08-15 16:17:06,overcast clouds
189,Bethel,US,41.3712,-73.414,83.55,51,0,1.01,2022-08-15 16:13:09,clear sky
190,Vardo,NO,70.3705,31.1107,53.58,87,0,3.44,2022-08-15 16:17:07,clear sky
191,Shenzhen,CN,22.5455,114.0683,87.22,88,96,6.42,2022-08-15 16:08:37,overcast clouds
192,Narsaq,GL,60.9167,-46.05,55.62,73,99,3.69,2022-08-15 16:17:08,overcast clouds
193,Biaora,IN,23.8667,76.9167,76.51,90,100,4.27,2022-08-15 16:17:08,moderate rain
194,Hare Bay,CA,48.8499,-54.0148,79.95,43,50,13.35,2022-08-15 16:17:09,scattered clouds
